name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Glenn Adams,adamg101,0,1.000000000,0.181818181,0.818181818,0.619047619,0.380952380,0.608391608,0.391608391,0,1.000000000,0,1.000000000,0.178571428,0.821428571,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.988505747,0.011494252,1.000000000,0
Luis Aguayo,agual001,0.023255813,0.976744186,0.250000000,0.773809523,0.714285714,0.285714285,0.500000000,0.500000000,0.043478260,0.956521739,0,1.000000000,0.136363636,0.863636363,0.666666666,0.333333333,0,1.000000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Willie Aikens,aikew001,0.007462686,0.992537313,0.243107769,0.764411027,0.484536082,0.515463917,0.587677725,0.412322274,0.034482758,0.965517241,0.011904761,0.988095238,0.144578313,0.855421686,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.991935483,0.008064516,1.000000000,0
Danny Ainge,aingd101,0.003861003,0.996138996,0.244186046,0.759689922,0.650793650,0.349206349,0.582781456,0.417218543,0.015873015,0.984126984,0,1.000000000,0.177419354,0.822580645,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.988636363,0.011363636,1.000000000,0
Doyle Alexander,alexd001,0,1.000000000,0.269230769,0.730769230,0.857142857,0.142857142,0.633333333,0.366666666,0.090909090,0.909090909,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,0.875000000,0.125000000,0,1.000000000,1.000000000,0,\N,\N
Gary Alexander,alexg101,0,1.000000000,0.300000000,0.700000000,0.800000000,0.200000000,0.653846153,0.346153846,0,1.000000000,0,1.000000000,0.222222222,0.777777777,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.941176470,0.058823529,1.000000000,0
Matt Alexander,alexm101,0,1.000000000,0.090909090,0.909090909,1.000000000,0,0.428571428,0.571428571,0,1.000000000,0,1.000000000,0.250000000,0.750000000,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Gary Allenson,alleg001,0.006211180,0.993788819,0.350000000,0.656250000,0.589285714,0.410714285,0.513157894,0.486842105,0.135135135,0.864864864,0.031250000,0.968750000,0.129032258,0.870967741,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N,0.974358974,0.025641025,1.000000000,0
Kim Allen,allek101,0,1.000000000,0.666666666,0.333333333,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Neil Allen,allen001,0,1.000000000,0.800000000,0.200000000,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Bill Almon,almob001,0.005494505,0.994505494,0.223756906,0.781767955,0.740740740,0.259259259,0.592391304,0.407608695,0.106666666,0.893333333,0.014925373,0.985074626,0.166666666,0.833333333,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.944954128,0.055045871,1.000000000,0
Jim Anderson,andej001,0.005617977,0.994382022,0.259887005,0.745762711,0.630434782,0.369565217,0.459183673,0.540816326,0.037735849,0.962264150,0,1.000000000,0.058823529,0.941176470,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Joaquin Andujar,anduj001,0,1.000000000,0.521739130,0.478260869,0.916666666,0.083333333,0.727272727,0.272727272,0.666666666,0.333333333,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Tony Armas,armat001,0.004494382,0.995505617,0.288939051,0.715575620,0.898437500,0.101562500,0.495049504,0.504950495,0.088235294,0.911764705,0,1.000000000,0.075268817,0.924731182,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.980000000,0.020000000,1.000000000,0
Alan Ashby,ashba001,0,1.000000000,0.218309859,0.781690140,0.532258064,0.467741935,0.582278481,0.417721518,0.045454545,0.954545454,0,1.000000000,0.126984126,0.873015873,0.500000000,0.500000000,0.500000000,0.500000000,1.000000000,0,\N,\N,0.978260869,0.021739130,1.000000000,0
Brian Asselstine,asseb101,0,1.000000000,0.134831460,0.865168539,0.583333333,0.416666666,0.660714285,0.339285714,0.157894736,0.842105263,0,1.000000000,0.250000000,0.750000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.972972972,0.027027027,1.000000000,0
Rick Auerbach,auerr101,0.011363636,0.988636363,0.218390804,0.793103448,0.789473684,0.210526315,0.472727272,0.527272727,0,1.000000000,0,1.000000000,0.068965517,0.931034482,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Ramon Aviles,avilr101,0,1.000000000,0.275862068,0.724137931,0.625000000,0.375000000,0.588235294,0.411764705,0.285714285,0.714285714,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.800000000,0.200000000,1.000000000,0
Benny Ayala,ayalb001,0.010416666,0.989583333,0.210526315,0.800000000,0.450000000,0.550000000,0.588235294,0.411764705,0.047619047,0.952380952,0,1.000000000,0.150000000,0.850000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Shooty Babitt,babis101,0,1.000000000,0.154320987,0.845679012,0.520000000,0.480000000,0.666666666,0.333333333,0.088235294,0.911764705,0,1.000000000,0.032258064,0.967741935,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.941176470,0.058823529,1.000000000,0
Wally Backman,backw001,0,1.000000000,0.275000000,0.725000000,0.636363636,0.363636363,0.761904761,0.238095238,0,1.000000000,0,1.000000000,0.200000000,0.800000000,0,1.000000000,0,1.000000000,1.000000000,0,\N,\N,0.937500000,0.062500000,1.000000000,0
Stan Bahnsen,bahns101,0,1.000000000,0.500000000,0.500000000,1.000000000,0,0,1.000000000,0.333333333,0.666666666,0,1.000000000,0.500000000,0.500000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N
Bob Bailor,bailb001,0.011235955,0.988764044,0.215909090,0.795454545,0.578947368,0.421052631,0.596153846,0.403846153,0.142857142,0.857142857,0,1.000000000,0.166666666,0.833333333,0.666666666,0.333333333,1.000000000,0,0.933333333,0.066666666,1.000000000,0,0.870967741,0.129032258,1.000000000,0
Harold Baines,bainh001,0.007142857,0.992857142,0.176258992,0.830935251,0.836734693,0.163265306,0.516129032,0.483870967,0.160000000,0.840000000,0.015873015,0.984126984,0.096774193,0.903225806,0.833333333,0.166666666,1.000000000,0,0.982142857,0.017857142,1.000000000,0,0.975000000,0.025000000,1.000000000,0
Doug Bair,baird001,0,1.000000000,0.666666666,0.333333333,1.000000000,0,0,1.000000000,0,1.000000000,0.500000000,0.500000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N
Chuck Baker,bakec101,0,1.000000000,0.134328358,0.865671641,0.888888888,0.111111111,0.630434782,0.369565217,0.058823529,0.941176470,0,1.000000000,0.187500000,0.812500000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Dusty Baker,baked002,0.002403846,0.997596153,0.171084337,0.831325301,0.605633802,0.394366197,0.489082969,0.510917030,0.162393162,0.837606837,0.010204081,0.989795918,0.216494845,0.783505154,0.761904761,0.238095238,1.000000000,0,1.000000000,0,\N,\N,0.937500000,0.062500000,0.857142857,0.142857142
Steve Balboni,balbs001,0,1.000000000,0.625000000,0.375000000,0.800000000,0.200000000,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Chris Bando,bandc001,0,1.000000000,0.081632653,0.918367346,0.500000000,0.500000000,0.371428571,0.628571428,0.136363636,0.863636363,0,1.000000000,0.052631578,0.947368421,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Sal Bando,bands101,0,1.000000000,0.121212121,0.878787878,0.375000000,0.625000000,0.488888888,0.511111111,0.130434782,0.869565217,0,1.000000000,0.100000000,0.900000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Alan Bannister,banna001,0,1.000000000,0.136363636,0.863636363,0.575757575,0.424242424,0.525974025,0.474025974,0.082191780,0.917808219,0,1.000000000,0.104477611,0.895522388,0.857142857,0.142857142,0,1.000000000,1.000000000,0,\N,\N,0.975308641,0.024691358,0.500000000,0.500000000
