name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Johnny Abrego,abrej001,0,1.000000000,0.285714285,0.714285714,1.000000000,0,0.400000000,0.600000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Ricky Adams,adamr001,0.008264462,0.991735537,0.208333333,0.800000000,0.920000000,0.080000000,0.519480519,0.480519480,0.027027027,0.972972972,0,1.000000000,0.111111111,0.888888888,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N,0.925000000,0.075000000,1.000000000,0
Luis Aguayo,agual001,0.032258064,0.967741935,0.238888888,0.794444444,0.604651162,0.395348837,0.516483516,0.483516483,0.090909090,0.909090909,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Rick Aguilera,aguir001,0,1.000000000,0.162162162,0.837837837,0.833333333,0.166666666,0.666666666,0.333333333,0.142857142,0.857142857,0,1.000000000,0.166666666,0.833333333,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Willie Aikens,aikew001,0,1.000000000,0.375000000,0.625000000,0.666666666,0.333333333,0.454545454,0.545454545,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Gary Allenson,alleg001,0,1.000000000,0.303030303,0.696969696,1.000000000,0,0.684210526,0.315789473,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Neil Allen,allen001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Bill Almon,almob001,0.003773584,0.996226415,0.314393939,0.689393939,0.734939759,0.265060240,0.512820512,0.487179487,0.035087719,0.964912280,0,1.000000000,0.090909090,0.909090909,0.800000000,0.200000000,0,1.000000000,1.000000000,0,\N,\N,0.983333333,0.016666666,1.000000000,0
Dave Anderson,anded001,0.004048582,0.995951417,0.300813008,0.703252032,0.567567567,0.432432432,0.429687500,0.570312500,0.027397260,0.972602739,0,1.000000000,0.014084507,0.985915492,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Larry Andersen,andel001,0,1.000000000,0,1.000000000,\N,\N,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Joaquin Andujar,anduj001,0,1.000000000,0.585106382,0.414893617,0.909090909,0.090909090,0.533333333,0.466666666,0.142857142,0.857142857,0,1.000000000,0.083333333,0.916666666,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Tony Armas,armat001,0.005102040,0.994897959,0.266666666,0.738461538,0.865384615,0.134615384,0.451086956,0.548913043,0,1.000000000,0,1.000000000,0.069306930,0.930693069,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Alan Ashby,ashba001,0.004807692,0.995192307,0.236714975,0.768115942,0.551020408,0.448979591,0.644859813,0.355140186,0.026315789,0.973684210,0,1.000000000,0.108108108,0.891891891,0.500000000,0.500000000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Benny Ayala,ayalb001,0,1.000000000,0.250000000,0.750000000,0.850000000,0.150000000,0.536585365,0.463414634,0,1.000000000,0,1.000000000,0.210526315,0.789473684,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Wally Backman,backw001,0.001845018,0.998154981,0.197781885,0.804066543,0.672897196,0.327102803,0.651162790,0.348837209,0,1.000000000,0,1.000000000,0.038095238,0.961904761,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.989795918,0.010204081,1.000000000,0
Bob Bailor,bailb001,0.008403361,0.991596638,0.067796610,0.940677966,0.625000000,0.375000000,0.530864197,0.469135802,0.052631578,0.947368421,0,1.000000000,0.138888888,0.861111111,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Mark Bailey,bailm001,0.002624671,0.997375328,0.326315789,0.676315789,0.564516129,0.435483870,0.549132947,0.450867052,0.025641025,0.974358974,0.013157894,0.986842105,0.040000000,0.960000000,0.333333333,0.666666666,0.500000000,0.500000000,1.000000000,0,\N,\N,0.978947368,0.021052631,1.000000000,0
Harold Baines,bainh001,0.001494768,0.998505231,0.184131736,0.817365269,0.723577235,0.276422764,0.532951289,0.467048710,0,1.000000000,0,1.000000000,0.165644171,0.834355828,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Doug Baker,baked001,0,1.000000000,0.360000000,0.640000000,1.000000000,0,0.727272727,0.272727272,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Dusty Baker,baked002,0,1.000000000,0.249357326,0.750642673,0.484536082,0.515463917,0.497512437,0.502487562,0,1.000000000,0,1.000000000,0.069306930,0.930693069,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.990000000,0.010000000,1.000000000,0
Steve Balboni,balbs001,0.007886435,0.992113564,0.340222575,0.667726550,0.775700934,0.224299065,0.460966542,0.539033457,0,1.000000000,0,1.000000000,0.055172413,0.944827586,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Jay Baller,ballj001,0,1.000000000,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Chris Bando,bandc001,0,1.000000000,0.222797927,0.777202072,0.488372093,0.511627906,0.563492063,0.436507936,0,1.000000000,0,1.000000000,0.072727272,0.927272727,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Alan Bannister,banna001,0,1.000000000,0.233082706,0.766917293,0.548387096,0.451612903,0.457142857,0.542857142,0,1.000000000,0,1.000000000,0.052631578,0.947368421,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Jesse Barfield,barfj001,0.006734006,0.993265993,0.345762711,0.661016949,0.700980392,0.299019607,0.556521739,0.443478260,0.019607843,0.980392156,0,1.000000000,0.040000000,0.960000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Len Barker,barkl001,0,1.000000000,0.437500000,0.562500000,1.000000000,0,0.750000000,0.250000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Skeeter Barnes,barns001,0,1.000000000,0.080000000,0.920000000,1.000000000,0,0.400000000,0.600000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Marty Barrett,barrm001,0.003460207,0.996539792,0.178819444,0.824652777,0.485436893,0.514563106,0.520958083,0.479041916,0,1.000000000,0,1.000000000,0.075000000,0.925000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.994252873,0.005747126,1.000000000,0
Kevin Bass,bassk001,0.010733452,0.989266547,0.168173598,0.842676311,0.677419354,0.322580645,0.528125000,0.471875000,0.013245033,0.986754966,0,1.000000000,0.087248322,0.912751677,0.846153846,0.153846153,0.500000000,0.500000000,1.000000000,0,\N,\N,0.988165680,0.011834319,1.000000000,0
Don Baylor,bayld001,0.045540796,0.954459203,0.270377733,0.777335984,0.661764705,0.338235294,0.377862595,0.622137404,0,1.000000000,0,1.000000000,0.098159509,0.901840490,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.949494949,0.050505050,1.000000000,0
Billy Beane,beanb001,0,1.000000000,0.375000000,0.625000000,1.000000000,0,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Steve Bedrosian,bedrs001,0,1.000000000,0.383333333,0.616666666,0.956521739,0.043478260,0.687500000,0.312500000,0,1.000000000,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Buddy Bell,bellb001,0.001639344,0.998360655,0.183908045,0.817733990,0.428571428,0.571428571,0.516216216,0.483783783,0.022346368,0.977653631,0,1.000000000,0.051428571,0.948571428,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.994764397,0.005235602,1.000000000,0
George Bell,bellg001,0.012519561,0.987480438,0.201267828,0.811410459,0.708661417,0.291338582,0.449704142,0.550295857,0.021505376,0.978494623,0,1.000000000,0.087912087,0.912087912,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.986842105,0.013157894,1.000000000,0
Rafael Belliard,bellr001,0,1.000000000,0.250000000,0.750000000,1.000000000,0,0.636363636,0.363636363,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Bruce Benedict,beneb001,0.004524886,0.995475113,0.150000000,0.854545454,0.363636363,0.636363636,0.513698630,0.486301369,0,1.000000000,0,1.000000000,0.154929577,0.845070422,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Juan Beniquez,benij001,0.011520737,0.988479262,0.179487179,0.832167832,0.597402597,0.402597402,0.562231759,0.437768240,0,1.000000000,0,1.000000000,0.117647058,0.882352941,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Butch Benton,bentb001,0,1.000000000,0.151515151,0.848484848,0.900000000,0.100000000,0.500000000,0.500000000,0,1.000000000,0,1.000000000,0.045454545,0.954545454,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Bruce Berenyi,bereb001,0,1.000000000,0.500000000,0.500000000,1.000000000,0,0,1.000000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N
Dave Bergman,bergd001,0,1.000000000,0.190789473,0.809210526,0.517241379,0.482758620,0.510204081,0.489795918,0,1.000000000,0,1.000000000,0.062500000,0.937500000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Tony Bernazard,bernt001,0.001792114,0.998207885,0.249551166,0.752244165,0.517985611,0.482014388,0.484098939,0.515901060,0,1.000000000,0,1.000000000,0.082191780,0.917808219,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Dale Berra,berrd001,0,1.000000000,0.238938053,0.761061946,0.740740740,0.259259259,0.393442622,0.606557377,0.027027027,0.972972972,0,1.000000000,0.083333333,0.916666666,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Kurt Bevacqua,bevak001,0,1.000000000,0.235668789,0.764331210,0.459459459,0.540540540,0.574712643,0.425287356,0.054054054,0.945945945,0,1.000000000,0.142857142,0.857142857,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Buddy Biancalana,bianb001,0,1.000000000,0.349315068,0.650684931,0.666666666,0.333333333,0.550724637,0.449275362,0,1.000000000,0,1.000000000,0.096774193,0.903225806,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Mike Bielecki,bielm001,0,1.000000000,0.600000000,0.400000000,0.833333333,0.166666666,0.750000000,0.250000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Dann Bilardello,bilad001,0.009803921,0.990196078,0.178217821,0.831683168,0.833333333,0.166666666,0.590909090,0.409090909,0,1.000000000,0,1.000000000,0.074074074,0.925925925,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Terry Blocker,bloct001,0,1.000000000,0.187500000,0.812500000,0.666666666,0.333333333,0.583333333,0.416666666,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Vida Blue,bluev001,0,1.000000000,0.518518518,0.481481481,0.785714285,0.214285714,0.500000000,0.500000000,0,1.000000000,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Bruce Bochte,bochb001,0,1.000000000,0.221491228,0.778508771,0.574257425,0.425742574,0.547826086,0.452173913,0,1.000000000,0,1.000000000,0.076923076,0.923076923,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Bruce Bochy,bochb002,0,1.000000000,0.304347826,0.695652173,0.857142857,0.142857142,0.540000000,0.460000000,0.043478260,0.956521739,0,1.000000000,0.045454545,0.954545454,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Wade Boggs,boggw001,0.005390835,0.994609164,0.205962059,0.799457994,0.401315789,0.598684210,0.591954022,0.408045977,0,1.000000000,0,1.000000000,0.140845070,0.859154929,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.990291262,0.009708737,1.000000000,0
Juan Bonilla,bonij001,0,1.000000000,0.200000000,0.800000000,1.000000000,0,0.700000000,0.300000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Barry Bonnell,bonnb001,0,1.000000000,0.216216216,0.783783783,0.791666666,0.208333333,0.516666666,0.483333333,0,1.000000000,0,1.000000000,0.137931034,0.862068965,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Greg Booker,bookg001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Bob Boone,boonb001,0.006160164,0.993839835,0.144628099,0.861570247,0.500000000,0.500000000,0.475083056,0.524916943,0.006329113,0.993670886,0,1.000000000,0.127388535,0.872611464,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Thad Bosley,boslt001,0,1.000000000,0.246153846,0.753846153,0.604166666,0.395833333,0.500000000,0.500000000,0,1.000000000,0,1.000000000,0.022727272,0.977272727,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Daryl Boston,bostd001,0,1.000000000,0.245689655,0.754310344,0.771929824,0.228070175,0.463414634,0.536585365,0,1.000000000,0,1.000000000,0.121212121,0.878787878,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Derek Botelho,boted001,0,1.000000000,0.400000000,0.600000000,0.833333333,0.166666666,0.857142857,0.142857142,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Larry Bowa,bowal001,0,1.000000000,0.150234741,0.849765258,0.656250000,0.343750000,0.563909774,0.436090225,0.017241379,0.982758620,0,1.000000000,0.087719298,0.912280701,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Phil Bradley,bradp001,0.017391304,0.982608695,0.265486725,0.752212389,0.716666666,0.283333333,0.565079365,0.434920634,0,1.000000000,0,1.000000000,0.131386861,0.868613138,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.983146067,0.016853932,1.000000000,0
Scott Bradley,brads001,0.020408163,0.979591836,0.125000000,0.895833333,0.833333333,0.166666666,0.411764705,0.588235294,0,1.000000000,0,1.000000000,0.100000000,0.900000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Steve Braun,braus001,0.013157894,0.986842105,0.240000000,0.773333333,0.500000000,0.500000000,0.634146341,0.365853658,0,1.000000000,0,1.000000000,0.066666666,0.933333333,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Sid Bream,breas001,0,1.000000000,0.232704402,0.767295597,0.648648648,0.351351351,0.522727272,0.477272727,0.047619047,0.952380952,0,1.000000000,0.025000000,0.975000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
