name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Hank Aaron,aaroh101,0.001972386,0.998027613,0.233201581,0.768774703,0.432203389,0.567796610,0.501792114,0.498207885,0.021582733,0.978417266,0,1.000000000,0.125000000,0.875000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Glenn Adams,adamg101,0.009803921,0.990196078,0.356435643,0.653465346,0.694444444,0.305555555,0.372093023,0.627906976,0.074074074,0.925925925,0,1.000000000,0.240000000,0.760000000,0.500000000,0.500000000,1.000000000,0,1.000000000,0,\N,\N,0.937500000,0.062500000,0,1.000000000
Vic Albury,albuv101,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gary Alexander,alexg101,0,1.000000000,0.750000000,0.250000000,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Matt Alexander,alexm101,0,1.000000000,0.181818181,0.818181818,0.500000000,0.500000000,0.625000000,0.375000000,0,1.000000000,0,1.000000000,0.333333333,0.666666666,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Dick Allen,alled101,0.004264392,0.995735607,0.349036402,0.655246252,0.668711656,0.331288343,0.493023255,0.506976744,0.110091743,0.889908256,0,1.000000000,0.226804123,0.773195876,0.772727272,0.227272727,0.200000000,0.800000000,1.000000000,0,\N,\N,0.971698113,0.028301886,1.000000000,0
Bob Allietta,allib101,0,1.000000000,0.136363636,0.863636363,1.000000000,0,0.433333333,0.566666666,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Bill Almon,almob001,0,1.000000000,0.100000000,0.900000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.625000000,0.375000000,1.000000000,0
Sandy Alomar,aloms101,0,1.000000000,0.172839506,0.827160493,0.690476190,0.309523809,0.528813559,0.471186440,0.064748201,0.935251798,0,1.000000000,0.123076923,0.876923076,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Jesus Alou,alouj101,0.009803921,0.990196078,0.069306930,0.940594059,0.714285714,0.285714285,0.594202898,0.405797101,0.071428571,0.928571428,0,1.000000000,0.115384615,0.884615384,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.951219512,0.048780487,1.000000000,0
Orlando Alvarez,alvao102,0,1.000000000,0.333333333,0.666666666,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Mike Anderson,andem101,0.007633587,0.992366412,0.307692307,0.700000000,0.825000000,0.175000000,0.524590163,0.475409836,0.068965517,0.931034482,0.018518518,0.981481481,0.113207547,0.886792452,0.500000000,0.500000000,0.666666666,0.333333333,1.000000000,0,\N,\N,1.000000000,0,\N,\N
